Name,Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Jupiter Tisserand Invariant,Epoch Osculation,Semi Major Axis,Asc Node Longitude,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,approach_year,approach_month,approach_day,Orbital Period,Orbit Uncertainity,Hazardous
3471585,813740400000,Fast,85319.53695,53014.24228,0.466018362,181.2811432,69715352,43319112,7.499,,,22.38391211,185.4172635,1.02368426,2457910.789,133.4904732,1.488000076,1995,,15,Low,High,False
3610358,813740400000,Very Fast,124987.4525,77662.34233,0.3798567255,147.764267,56825760,35309888,3.625,2458000.5,1.814799732,30.87949107,,3.061958295,,324.1549104,0.4031447551,1995,10,15,,Low,False
3666785,813740400000,Slow,,29035.46886,0.1732524845,67.39521027,,16104824,,2458000.5,1.166519916,28.85202161,,1.469502839,2457770.913,,,1995,,15,Low,Low,False
2355046,814345200000,Very Slow,27150.86614,16870.49235,0.4797389449,186.618454,71767928,44594520,5.1,2458000.5,1.242319678,98.32819872,169.728133,1.580158628,2457965.665,,0.7117935161,1995,,22,,,False
2444193,814345200000,Slow,,40608.25172,0.2483933654,96.62502289,37159120,23089606,5.673,2458000.5,1.069295735,,78.20976413,1.277321206,2458150.979,225.8678287,0.8913685811,1995,10,22,Low,,True
3072196,,,,25247.47583,0.2623579908,,39248196,24387698,,2458000.5,0.9891735209,357.7895023,,,2457858.76,141.9998844,1.00183304,1995,10,22,Low,Medium,False
3514891,814345200000,Fast,,53064.2019,0.3503765468,136.2964783,52415584,32569534,,2458000.5,0.8821099864,195.1507089,187.9551444,,2457880.985,142.1815303,1.189652073,1995,10,22,Low,,False
3765702,814345200000,Slow,41926.00094,26051.18653,,,44981772,,6.504,2458000.5,,252.5344599,344.0916159,1.055192397,2457869.526,,1.129309691,,10,22,Low,Medium,False
2003362,,Slow,,26053.41305,0.4686737132,182.3140717,70112592,,,2458000.5,0.9895267061,152.4478065,55.04820445,1.453186991,2458083.86,276.5319456,1.001296722,1995,11,8,Low,Low,True
3358223,,,37271.67153,23159.16723,0.209470423,,31336330,19471492,,2458000.5,0.8924375048,,327.0394215,1.228977059,2458152.279,,1.169061488,1995,11,,Low,Medium,False
3634389,815817600000,Fast,84182.84343,52307.94513,0.4636560973,180.3622284,69361968,43099528,4.483,2458000.5,1.479975539,,195.7444816,2.083334789,2457880.502,65.68939439,0.5474220264,1995,,8,Medium,Low,False
2221980,816422400000,,43696.91395,27151.563,0.3543838139,137.8553009,,32942034,4.744,,1.341419602,356.5206025,64.62687149,,2457993.823,,,1995,11,15,,Low,True
3431599,,Slow,77674.13063,48263.68411,0.2447450702,,36613344,22750476,,2458000.5,,286.6297806,198.8800732,3.613774461,2458438.593,,0.3013476306,,11,15,High,Medium,False
